event,time,gender,age,became_member_on,income,reward,difficulty,duration,offer_type,is_viewed,web_channel,mobile_channel,social_channel
offer completed,576,M,33,20170421,72000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,228,M,33,20170421,72000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,414,M,33,20170421,72000.0,5.0,5.0,5.0,bogo,0.0,1,1,1
offer completed,528,M,33,20170421,72000.0,2.0,10.0,10.0,discount,0.0,1,1,1
offer completed,576,O,40,20180109,57000.0,5.0,20.0,10.0,discount,1.0,1,0,0
offer completed,252,O,40,20180109,57000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,132,O,40,20180109,57000.0,0.0,0.0,4.0,informational,1.0,1,1,0
offer completed,576,O,40,20180109,57000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,510,F,59,20160304,90000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
transaction,510,F,59,20160304,90000.0,0.0,0.0,3.0,informational,0.0,0,1,1
offer completed,54,F,59,20160304,90000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,222,F,24,20161111,60000.0,3.0,7.0,7.0,discount,1.0,1,1,1
transaction,42,F,24,20161111,60000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
transaction,426,F,24,20161111,60000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,600,F,24,20161111,60000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,378,F,24,20161111,60000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,696,F,26,20170621,73000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,360,F,26,20170621,73000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,66,F,26,20170621,73000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,384,F,26,20170621,73000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,336,F,19,20160809,65000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,486,F,19,20160809,65000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,36,F,19,20160809,65000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,258,F,19,20160809,65000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,336,F,55,20180508,74000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,18,F,55,20180508,74000.0,0.0,0.0,3.0,informational,0.0,0,1,1
offer completed,534,F,55,20180508,74000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,714,F,55,20180508,74000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,336,M,54,20160331,99000.0,10.0,10.0,7.0,bogo,0.0,0,1,1
offer completed,432,M,54,20160331,99000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,222,M,54,20160331,99000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,582,M,56,20171209,47000.0,5.0,5.0,7.0,bogo,0.0,1,1,0
transaction,204,M,56,20171209,47000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
offer completed,414,M,54,20160821,91000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,576,M,54,20160821,91000.0,3.0,7.0,7.0,discount,0.0,1,1,1
transaction,558,M,54,20160821,91000.0,0.0,0.0,4.0,informational,1.0,1,1,0
offer completed,132,M,54,20160821,91000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,210,F,58,20171207,119000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,534,F,58,20171207,119000.0,2.0,10.0,7.0,discount,0.0,1,1,0
offer completed,342,F,58,20171207,119000.0,10.0,10.0,5.0,bogo,0.0,1,1,1
offer completed,12,F,58,20171207,119000.0,10.0,10.0,7.0,bogo,0.0,0,1,1
transaction,252,F,28,20170908,68000.0,0.0,0.0,4.0,informational,1.0,1,1,0
transaction,72,F,28,20170908,68000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,366,F,28,20170908,68000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
transaction,588,M,26,20141221,61000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,540,M,26,20141221,61000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,342,M,26,20141221,61000.0,0.0,0.0,4.0,informational,0.0,1,1,0
offer completed,522,M,26,20141221,61000.0,5.0,5.0,7.0,bogo,0.0,1,1,0
offer completed,246,M,26,20141221,61000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,624,M,71,20171023,41000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,84,M,71,20171023,41000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
transaction,558,M,71,20171023,41000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,192,M,24,20170910,42000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,432,M,24,20170910,42000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,108,M,24,20170910,42000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,300,F,62,20160617,81000.0,5.0,20.0,10.0,discount,1.0,1,0,0
offer completed,6,F,62,20160617,81000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,408,F,62,20160617,81000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,420,M,61,20180214,66000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,594,M,61,20180214,66000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,222,M,61,20180214,66000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,234,M,61,20180214,66000.0,2.0,10.0,10.0,discount,1.0,1,1,1
transaction,18,F,88,20151024,54000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,426,F,88,20151024,54000.0,10.0,10.0,5.0,bogo,1.0,1,1,1
offer completed,534,F,88,20151024,54000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,402,M,55,20151115,83000.0,3.0,7.0,7.0,discount,1.0,1,1,1
offer completed,414,M,55,20151115,83000.0,10.0,10.0,7.0,bogo,0.0,0,1,1
transaction,510,M,21,20180106,59000.0,2.0,10.0,7.0,discount,0.0,1,1,0
transaction,78,M,21,20180106,59000.0,5.0,5.0,7.0,bogo,0.0,1,1,0
transaction,486,M,21,20180106,59000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,156,M,72,20170407,102000.0,3.0,7.0,7.0,discount,1.0,1,1,1
offer completed,702,M,72,20170407,102000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,420,M,62,20160825,80000.0,5.0,20.0,10.0,discount,0.0,1,0,0
transaction,60,M,62,20160825,80000.0,0.0,0.0,4.0,informational,0.0,1,1,0
transaction,420,M,62,20160825,80000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,264,M,62,20160825,80000.0,10.0,10.0,7.0,bogo,0.0,0,1,1
offer completed,606,M,62,20160825,80000.0,2.0,10.0,10.0,discount,1.0,1,1,1
offer completed,480,M,50,20170627,104000.0,5.0,20.0,10.0,discount,0.0,1,0,0
offer completed,582,M,50,20170627,104000.0,10.0,10.0,5.0,bogo,0.0,1,1,1
offer completed,252,M,50,20170627,104000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
transaction,66,F,68,20180622,76000.0,0.0,0.0,3.0,informational,1.0,0,1,1
transaction,570,F,68,20180622,76000.0,5.0,5.0,5.0,bogo,1.0,1,1,1
offer completed,468,M,94,20141128,50000.0,2.0,10.0,7.0,discount,1.0,1,1,0
transaction,72,M,94,20141128,50000.0,0.0,0.0,3.0,informational,1.0,0,1,1
offer completed,576,M,94,20141128,50000.0,5.0,5.0,7.0,bogo,1.0,1,1,0
offer completed,600,M,94,20141128,50000.0,2.0,10.0,10.0,discount,0.0,1,1,1
offer completed,486,M,44,20160111,72000.0,3.0,7.0,7.0,discount,1.0,1,1,1
offer completed,18,M,44,20160111,72000.0,2.0,10.0,7.0,discount,1.0,1,1,0
offer completed,390,M,44,20160111,72000.0,10.0,10.0,7.0,bogo,1.0,0,1,1
